##var,word,translation,phonetic,example_en,audio_file
##type,string,string,string,string,string
##group,c,c,c,c,c
##,单词(大写),中文释义,音标,英文例句,音频文件名
word_pool_HELLO,HELLO,你好,/həˈloʊ/,Hello my name is Li Ming.,hello.mp3
word_pool_NAME,NAME,名字,/neɪm/,My name is Wang Lei.,name.mp3
word_pool_GOOD,GOOD,好的,/ɡʊd/,Good morning teacher.,good.mp3
word_pool_MORNING,MORNING,早上,/ˈmɔːrnɪŋ/,Good morning everyone.,morning.mp3
word_pool_NICE,NICE,好的;令人愉快的,/naɪs/,Nice to meet you.,nice.mp3
word_pool_MEET,MEET,遇见,/miːt/,Nice to meet you too.,meet.mp3
word_pool_BOY,BOY,男孩,/bɔɪ/,The boy is my friend.,boy.mp3
word_pool_GIRL,GIRL,女孩,/ɡɜːrl/,The girl is a student.,girl.mp3
word_pool_STUDENT,STUDENT,学生,/ˈstuːdənt/,I am a student.,student.mp3
word_pool_TEACHER,TEACHER,老师,/ˈtiːtʃər/,She is my teacher.,teacher.mp3
word_pool_CLASS,CLASS,班级,/klæs/,We are in the same class.,class.mp3
word_pool_FRIEND,FRIEND,朋友,/frend/,He is my best friend.,friend.mp3
word_pool_AGE,AGE,年龄,/eɪdʒ/,What is your age?,age.mp3
word_pool_TOO,TOO,也,/tuː/,Nice to meet you too.,too.mp3
word_pool_I,I,我,/aɪ/,I am a student.,i.mp3
word_pool_YOU,YOU,你,/juː/,How are you?,you.mp3
word_pool_HE,HE,他,/hiː/,He is my friend.,he.mp3
word_pool_SHE,SHE,她,/ʃiː/,She is a teacher.,she.mp3
word_pool_MY,MY,我的,/maɪ/,My name is Li Ming.,my.mp3
word_pool_YOUR,YOUR,你的,/jɔːr/,What is your name?,your.mp3
word_pool_WE,WE,我们,/wiː/,We are students.,we.mp3
word_pool_THEY,THEY,他们,/ðeɪ/,They are my friends.,they.mp3
word_pool_THIS,THIS,这个,/ðɪs/,This is my book.,this.mp3
word_pool_THAT,THAT,那个,/ðæt/,That is your pen.,that.mp3
word_pool_WHAT,WHAT,什么,/wɑːt/,What is your name?,what.mp3
word_pool_HOW,HOW,怎样,/haʊ/,How are you?,how.mp3
word_pool_YES,YES,是,/jes/,Yes I am a student.,yes.mp3
word_pool_NO,NO,不,/noʊ/,No he is not here.,no.mp3
